,energy,cTheta,phi,prob_b,spheri,pt2rel,multip,bqvjet,ptlrel,isb
0,46.8299,0.3871,0.8528,0.0327,0.2105,0.0302,0.4776,0.0314,-0.0003,0.0
1,45.6397,-0.3943,-2.2817,0.0035,0.3457,0.0314,0.3497,0.0106,-0.0003,0.0
2,48.896,-0.4613,-0.6139,0.0649,0.0872,0.0254,0.1288,0.1074,-0.0003,0.0
3,39.1577,0.4668,2.4818,0.0027,0.157,0.0147,0.2732,0.2117,0.024,0.0
4,43.7354,-0.7642,1.7872,0.432,0.4873,0.0505,0.3536,0.4578,-0.0003,1.0
5,35.1019,0.7674,-1.3543,0.2365,0.3757,0.0617,0.2816,0.2825,-0.0003,1.0
6,40.6439,0.0275,-3.1126,0.2631,0.0994,0.0594,0.1352,0.1642,0.4384,1.0
7,36.9879,0.003,0.1136,0.0472,0.6663,0.0809,0.6013,0.0445,0.581,1.0
8,41.9806,0.654,-1.6812,0.015,0.2012,0.0584,0.2681,0.0037,-0.0003,1.0
9,33.6217,-0.6719,1.4938,0.1025,0.6093,0.0426,0.3326,0.0369,0.3714,1.0
10,46.2623,0.7081,3.0033,0.0038,0.5634,0.0939,0.392,0.0246,-0.0003,0.0
11,37.7142,-0.7339,-0.1217,0.0055,0.2807,0.0363,0.368,0.1125,-0.0003,0.0
12,48.3497,-0.2123,-0.5272,0.0235,0.2599,0.2075,0.3445,0.0082,-0.0003,0.0
13,46.4851,0.2005,2.6037,0.0164,0.073,0.0299,0.174,0.0075,-0.0003,0.0
14,50.5318,0.4552,-2.83,0.0205,0.2635,0.0637,0.4683,0.0545,-0.0003,0.0
15,47.9072,-0.404,0.2619,0.0092,0.1782,0.4718,0.4316,0.1385,-0.0003,0.0
16,47.01,-0.6213,2.3048,0.0921,0.3205,0.0315,0.347,0.107,-0.0003,0.0
17,43.0274,0.6243,-0.8201,0.0286,0.3783,0.0099,0.222,0.0129,-0.0003,0.0
18,42.3804,-0.7439,0.0672,0.2286,0.7777,0.0309,0.4903,0.2679,-0.0003,1.0
19,41.9043,0.7466,-3.1175,0.0688,0.5071,0.0251,0.4024,0.2114,-0.0003,1.0
20,44.538,-0.5229,-2.6166,0.0521,0.369,0.0253,0.3959,0.1091,-0.0003,0.0
21,44.2725,0.5014,0.4765,0.0,0.2713,0.1193,0.4846,0.1157,-0.0003,0.0
22,45.4658,-0.2018,-0.2216,0.0151,0.1881,0.0844,0.35,0.0333,-0.0003,0.0
23,36.8902,0.2297,2.9195,0.0709,0.5381,0.0972,0.5091,0.0949,-0.0003,0.0
24,48.246,0.5584,-2.2468,0.049,0.1261,0.1006,0.3016,0.034,-0.0003,0.0
25,40.5737,-0.5669,0.9006,0.0343,0.5694,0.0228,0.3608,0.0157,-0.0003,0.0
26,44.8157,-0.4584,-0.4803,0.0631,0.4227,0.1949,0.527,0.1122,-0.0003,0.0
27,42.6673,0.444,2.6791,0.0605,0.5131,0.0227,0.267,0.0092,0.1016,0.0
28,48.2307,-0.0485,0.6345,0.1235,0.1865,0.0412,0.3447,0.036,-0.0003,0.0
29,37.6318,0.0176,-2.5167,0.0038,0.586,0.0545,0.3683,0.1017,-0.0003,0.0
30,53.0709,0.5532,2.488,0.0259,0.2296,0.1353,0.2523,0.0153,-0.0003,0.0
